Iso:"AD","Iso":"AND"
Iso:"AE","Iso":"ARE"
Iso:"AF","Iso":"AFG"
Iso:"AG","Iso":"ATG"
Iso:"AI","Iso":"AIA"
Iso:"AL","Iso":"ALB"
Iso:"AM","Iso":"ARM"
Iso:"AO","Iso":"AGO"
Iso:"AQ","Iso":"ATA"
Iso:"AR","Iso":"ARG"
Iso:"AS","Iso":"ASM"
Iso:"AT","Iso":"AUT"
Iso:"AU","Iso":"AUS"
Iso:"AW","Iso":"ABW"
Iso:"AX","Iso":"ALA"
Iso:"AZ","Iso":"AZE"
Iso:"BA","Iso":"BIH"
Iso:"BB","Iso":"BRB"
Iso:"BD","Iso":"BGD"
Iso:"BE","Iso":"BEL"
Iso:"BF","Iso":"BFA"
Iso:"BG","Iso":"BGR"
Iso:"BH","Iso":"BHR"
Iso:"BI","Iso":"BDI"
Iso:"BJ","Iso":"BEN"
Iso:"BL","Iso":"BLM"
Iso:"BM","Iso":"BMU"
Iso:"BN","Iso":"BRN"
Iso:"BO","Iso":"BOL"
Iso:"BQ","Iso":"BES"
Iso:"BR","Iso":"BRA"
Iso:"BS","Iso":"BHS"
Iso:"BT","Iso":"BTN"
Iso:"BV","Iso":"BVT"
Iso:"BW","Iso":"BWA"
Iso:"BY","Iso":"BLR"
Iso:"BZ","Iso":"BLZ"
Iso:"CA","Iso":"CAN"
Iso:"CC","Iso":"CCK"
Iso:"CD","Iso":"COD"
Iso:"CF","Iso":"CAF"
Iso:"CG","Iso":"COG"
Iso:"CH","Iso":"CHE"
Iso:"CI","Iso":"CIV"
Iso:"CK","Iso":"COK"
Iso:"CL","Iso":"CHL"
Iso:"CM","Iso":"CMR"
Iso:"CN","Iso":"CHN"
Iso:"CO","Iso":"COL"
Iso:"CR","Iso":"CRI"
Iso:"CU","Iso":"CUB"
Iso:"CV","Iso":"CPV"
Iso:"CW","Iso":"CUW"
Iso:"CX","Iso":"CXR"
Iso:"CY","Iso":"CYP"
Iso:"CZ","Iso":"CZE"
Iso:"DE","Iso":"DEU"
Iso:"DJ","Iso":"DJI"
Iso:"DK","Iso":"DNK"
Iso:"DM","Iso":"DMA"
Iso:"DO","Iso":"DOM"
Iso:"DZ","Iso":"DZA"
