eventID;ISO
3640;GBR
3638;USA
3639;USA
3630;ESP
3631;ESP
3632;ESP
3633;IRN
3634;JPN
3635;CRI
3636;ARG
3637;USA
3650;GBR
3651;ARG
3649;GBR
1;DOM
2;MEX
3;PHL
4;GRC
5;JPN
6;USA
7;URY
8;USA
3641;FRA
9;USA
3642;IRL
3643;FRA
3644;USA
3645;USA
3646;GBR
3647;USA
3648;SLV
3660;ARG
3661;ITA
3662;GBR
3652;GBR
3653;GBR
3654;USA
3655;GBR
3656;GBR
3657;ITA
3658;ITA
3659;ESP
3670;TUR
3671;TUR
3672;TUR
3673;ESP
3663;GBR
3664;ESP
3665;GBR
3666;PRT
3667;ITA
3668;GRC
3669;USA
3680;TUR
3681;TUR
3682;COL
3683;TUR
3684;TUR
128710;THA
128708;AFG
128709;AFG
3674;GBR
128700;AFG
3675;ARG
128701;AFG
3676;DEU
128702;NGA
3677;DEU
128703;NGA
3678;TUR
128704;IND
3679;TUR
128705;PAK
128706;AFG
128707;AFG
3690;ITA
3691;GBR
3692;GRC
3693;USA
3694;GBR
3695;FRA
3685;GBR
3686;TUR
3687;USA
3688;GBR
3689;ARG
3696;FRA
3697;COL
3698;USA
3699;DEU
128750;MDV
128751;MDV
128752;SDN
128753;PAK
128754;PHL
153710;IRQ
114103;BGD
153711;IRQ
114104;BGD
153712;IRQ
114105;BGD
153713;NGA
114106;BGD
153714;NGA
114107;NGA
153715;NGA
114108;PAK
153716;NER
114109;COL
153717;PSE
153718;TUR
36407;LKA
153719;AFG
36408;ZMB
36409;ARG
114110;PHL
114111;PHL
114112;NGA
114113;NGA
128744;LBN
36400;COL
128745;PER
36401;IND
128746;IND
36402;MMR
128747;IRL
36403;COL
128748;MDV
36404;SLV
128749;MDV
36405;SLV
36406;IND
128740;PSE
128741;EGY
128742;IND
128743;PAK
153700;LBY
153701;IND
153702;AFG
153703;AFG
153704;EGY
153705;AFG
153706;AFG
153707;AFG
153708;USA
153709;PAK
114100;BGD
114101;BGD
114102;BGD
128733;IRQ
128734;PAK
128735;SOM
128736;PAK
128737;IND
128738;ISR
128739;ISR
128730;IRQ
153730;COD
128731;IRQ
153731;IND
128732;IRQ
153732;PHL
153733;PHL
153734;PAK
153735;IRQ
153736;IRQ
153737;IRQ
153738;EGY
153739;IRQ
128722;IRQ
128723;IRQ
128724;IRQ
128725;IRQ
128726;IRQ
128727;LBY
128728;LBY
128729;IRQ
128720;IRQ
153720;LBY
128721;IRQ
153721;PHL
153722;AUS
153723;AFG
153724;PAK
153725;AFG
153726;AFG
153727;GRC
153728;IND
153729;SOM
128719;IRQ
128711;AFG
128712;AFG
128713;AFG
128714;YEM
128715;CMR
128716;NGA
128717;PAK
128718;IRQ
128791;BGD
128792;IRQ
128793;ISR
128794;LBY
128795;PAK
128796;IND
128797;PAK
128798;PAK
114147;COL
114148;IRQ
114149;IRQ
128790;BGD
114150;IRQ
114151;IRQ
114152;NGA
114153;NGA
114154;LBN
114155;SOM
114156;SOM
114157;IDN
128788;IRQ
128789;KEN
128780;NGA
128781;NGA
128782;NGA
128783;YEM
128784;IND
128785;ISR
128786;GBR
128787;GBR
114136;GBR
114137;PAK
114138;TUR
114139;SEN
114140;THA
114141;AFG
114142;PHL
114143;IND
114144;PAK
114145;PHL
114146;PHL
128777;SOM
128778;SOM
128779;IRQ
128770;IRQ
128771;IRQ
128772;IRQ
128773;PAK
128774;PAK
128775;IRQ
128776;PAK
114125;PAK
114126;SOM
114127;PHL
